content,Relevance,Value Item 1-  Violating,Value Item 2 - Violating,Values Violating Outside Schwartz,Value Item - 2 Supporting,Values Supporting Outside Schwartz,Keyword Identified for categorizatin of value(s),Phrases Identified for categorization of value(s)
The government is hiding info on covid19,Directly Relevant,Honest,Responsible,,,,,hiding info
A great idea but shame we have the morons out of touch with reality running the states and country! I had this installed but with restrictions continuing no point continuing with this app!,Directly Relevant,Choosing own goals,Freedom,,Helpful,,,no point continuing
Battery drainer. Not yet sustainable to use.,Directly Relevant,Protecting the environment,,Sustainability,,,,"not sustainable, battery drainer"
I am just interested in total number of active cases in my suburb. But this app provides only total infected cases of each state and dont say anything about recovered cases. Not useful for me.,Directly Relevant,Helpful,curious,,,,,Not useful
It needs location service on. Why? Explanation: necessary for Bluetooth to work.??? Why can I connect to my speakers via BT when location service is off? Why can I connect to my tablet via BT when location service is off?Why can I connect to my hands free car entertainment system via BT when location service is off? Why can I connect to my laptop via BT when location service is off? Could extend this list indefinite....,Directly Relevant,Privacy,Intelligent,,,,,
Shortly after installing I started getting a dry cough. Also this app boosted 5g in my house im pretty sure.,Directly Relevant,Healthy,Family security,,,,,
Like government like app... Useless!,Directly Relevant,Helpful,,,,,,
"Marketed as a COVID-19 tracker. Does nothing of the sort, simply keeps a list of phones that have been near your phone for more than 15 minutes at a time. Considering I already minimise contact with others, it's simply not needed.",Directly Relevant,Honest,Helpful,,,,,
"Just links you to health.gov for everything anyway, so just go there and don't bother with this. People thinking this is the COVIDsafe app are off chops - I blame the govt not being clear but also the off choppers",Directly Relevant,Intelligent,Capable,,,,,
Cost a fortune in data,Directly Relevant,Wealth,,,,,,
Only sheep download this app because people are stupid. Stuff the government they just want to track us if not why did they chose to have a data retention law passed think about it,Directly Relevant,Independent,Privacy,,,,,
This app is never up to date! Useless!,Directly Relevant,curious,Helpful,,,,,
Covid 19 is fake check the news,Directly Relevant,Honest,,,,,,
Drain heaps of battery,Directly Relevant,Protecting the environment,,,,,,
I am trying to register this is stupid,Directly Relevant,Intelligent,Capable,,,,,
"Why can't you just push a few quick buttons not like this. 2 hours and nothing until I read you have to drop the 0 and now I can't find where to do it Am I downloaded, I don't know",Directly Relevant,Intelligent,Capable,,,,,
Gotta love when the government used this app to track you :),Directly Relevant,Privacy,Honest,,,,,
There is no way bluetooth signal strength can measure 1.5 metres. Done the research.,Directly Relevant,Intelligent,Honest,,,,,
It's not the aus gov one that I thought I was getting. That one is called COVIDsafe,Directly Relevant,Honest,Intelligent,,,,,
Not activated..so I don't know who can help me,Directly Relevant,Helpful,,,,,,
It keeps telling me I can't register because my mobile number is invalid. News to me. Please fix,Directly Relevant,Helpful,Honest,Truthfulness,,,,it keeps telling me
Not much information and too much push propaganda,Directly Relevant,Authority,Honest,,,,,
Useless. Basically just a bunch of links to a website. When you get a push notification it just opens the app and doesn't present you with any information. I feel dumber after using this app.,Directly Relevant,Self-respect,Intelligent,,,,,
"What's happened to this App? It was working a week ago, now most of it is blank pages. Please fix.",Directly Relevant,curious,Helpful,,,,,
"Just sends you to web pages, it's all confusing and doesn't help any more then a Google search",Directly Relevant,Helpful,Creativity,,,,,
Useless. Very basic information which can simply get from website.,Directly Relevant,Helpful,Creativity,,,,,
Can't find the latest isolation guidelines,Directly Relevant,curious,,,,,,
Doesn't display properly on Galaxy Tablet,Not Relevant,,,,,,,
"Rubbish, they're pushing it everywhere, but it won't open!",Directly Relevant,Helpful,Responsible,,,,,
No more info then the internet.... doesn't show if my area is affected which is what I want...,Directly Relevant,Creativity,curious,,,,,
Opens all the advice categories in separate Internet Explorer tabs. Very inconvenient and inefficient.,Directly Relevant,Helpful,Intelligent,"Convenience, efficiency",,,"Very inconvenient, inefficient",
Thought this would be used for important updates. Not for spruiking government policies.,Directly Relevant,Honest,Independent,,,,,
What are the new laws and restrictions? Surely a govt app should advise these at least.,Directly Relevant,curious,,,,,What are the,"app should advise, What are the"
App is as big a skidmark as the PM.,Not Relevant,,,,,,,
Wgats the point of an app that DOESENT load,Directly Relevant,Helpful,,,,,,Whats the point of
Impossible to get the proper information. Useless,Directly Relevant,curious,Helpful,,,,,impossible to get
Location permission DENIED !!! Big Brother.,Directly Relevant,Privacy,,,,,,"location permission, big brother"
"It's basically just a bunch of bookmarks that open in your phones browser. Lame. It's also pretty much written in Firebase which sets off privacy alarm bells. The government should work on putting concise information on a single source website (like every other country) rather than having informatio...
 Full Review",Directly Relevant,Intelligent,Creativity,,,,,"basically a bunch of, lame, should work on"
