,year,exporter,importer,product,value,quantity,exporter_name,importer_name,product_description
35877,2022,24,516,100610,0.022,        0.035,Angola,Namibia,Cereals: rice in the husk (paddy or rough)
50288,2022,32,56,100610,4.74,        2.242,Argentina,Belgium,Cereals: rice in the husk (paddy or rough)
52467,2022,32,76,100610,29.252,        9.000,Argentina,Brazil,Cereals: rice in the husk (paddy or rough)
54794,2022,32,152,100610,38.444,       79.219,Argentina,Chile,Cereals: rice in the husk (paddy or rough)
76608,2022,32,724,100610,0.063,        0.011,Argentina,Spain,Cereals: rice in the husk (paddy or rough)
81962,2022,32,858,100610,37.72,       28.520,Argentina,Uruguay,Cereals: rice in the husk (paddy or rough)
84802,2022,36,32,100610,52.335,      100.000,Australia,Argentina,Cereals: rice in the husk (paddy or rough)
97422,2022,36,124,100610,0.219,        1.000,Australia,Canada,Cereals: rice in the husk (paddy or rough)
101687,2022,36,156,100610,3.309,        1.320,Australia,China,Cereals: rice in the husk (paddy or rough)
125155,2022,36,344,100610,19.047,        3.280,Australia,"China, Hong Kong SAR",Cereals: rice in the husk (paddy or rough)
128797,2022,36,360,100610,0.006,        0.004,Australia,Indonesia,Cereals: rice in the husk (paddy or rough)
165870,2022,36,554,100610,0.416,        0.010,Australia,New Zealand,Cereals: rice in the husk (paddy or rough)
241078,2022,40,100,100610,0.756,        0.169,Austria,Bulgaria,Cereals: rice in the husk (paddy or rough)
282769,2022,40,276,100610,7.747,       12.604,Austria,Germany,Cereals: rice in the husk (paddy or rough)
294244,2022,40,348,100610,6.153,        2.332,Austria,Hungary,Cereals: rice in the husk (paddy or rough)
306866,2022,40,380,100610,3.911,        2.221,Austria,Italy,Cereals: rice in the husk (paddy or rough)
345885,2022,40,528,100610,3.002,        3.316,Austria,Netherlands,Cereals: rice in the husk (paddy or rough)
369474,2022,40,642,100610,19.669,       14.306,Austria,Romania,Cereals: rice in the husk (paddy or rough)
385512,2022,40,703,100610,0.254,        0.138,Austria,Slovakia,Cereals: rice in the husk (paddy or rough)
390882,2022,40,705,100610,3.523,        4.755,Austria,Slovenia,Cereals: rice in the husk (paddy or rough)
394783,2022,40,710,100610,0.092,        0.010,Austria,South Africa,Cereals: rice in the husk (paddy or rough)
404186,2022,40,757,100610,0.155,        0.051,Austria,Switzerland,Cereals: rice in the husk (paddy or rough)
438378,2022,48,368,100610,0.213,        0.200,Bahrain,Iraq,Cereals: rice in the husk (paddy or rough)
439399,2022,48,400,100610,0.032,        0.003,Bahrain,Jordan,Cereals: rice in the husk (paddy or rough)
440051,2022,48,414,100610,1.104,        0.146,Bahrain,Kuwait,Cereals: rice in the husk (paddy or rough)
441614,2022,48,508,100610,1.0,        2.000,Bahrain,Mozambique,Cereals: rice in the husk (paddy or rough)
444148,2022,48,562,100610,4.151,        8.000,Bahrain,Niger,Cereals: rice in the husk (paddy or rough)
446564,2022,48,682,100610,0.24,        1.459,Bahrain,Saudi Arabia,Cereals: rice in the husk (paddy or rough)
448400,2022,48,686,100610,0.293,        1.500,Bahrain,Senegal,Cereals: rice in the husk (paddy or rough)
449284,2022,48,710,100610,20.804,       26.000,Bahrain,South Africa,Cereals: rice in the husk (paddy or rough)
462643,2022,50,231,100610,0.096,        0.032,Bangladesh,Ethiopia,Cereals: rice in the husk (paddy or rough)
463327,2022,50,246,100610,0.263,        0.088,Bangladesh,Finland,Cereals: rice in the husk (paddy or rough)
463820,2022,50,251,100610,15.188,        7.670,Bangladesh,France,Cereals: rice in the husk (paddy or rough)
464564,2022,50,276,100610,3.363,        1.936,Bangladesh,Germany,Cereals: rice in the husk (paddy or rough)
467486,2022,50,372,100610,29.424,       48.245,Bangladesh,Ireland,Cereals: rice in the husk (paddy or rough)
472164,2022,50,458,100610,0.012,        0.003,Bangladesh,Malaysia,Cereals: rice in the husk (paddy or rough)
477281,2022,50,586,100610,941.354,      332.000,Bangladesh,Pakistan,Cereals: rice in the husk (paddy or rough)
483064,2022,50,710,100610,2.694,        2.240,Bangladesh,South Africa,Cereals: rice in the husk (paddy or rough)
487986,2022,50,826,100610,19.249,       13.149,Bangladesh,United Kingdom,Cereals: rice in the husk (paddy or rough)
497460,2022,51,643,100610,0.681,        0.400,Armenia,Russian Federation,Cereals: rice in the husk (paddy or rough)
513930,2022,56,40,100610,0.313,        0.352,Belgium,Austria,Cereals: rice in the husk (paddy or rough)
517669,2022,56,48,100610,0.298,        0.300,Belgium,Bahrain,Cereals: rice in the husk (paddy or rough)
539640,2022,56,152,100610,0.043,           NA,Belgium,Chile,Cereals: rice in the husk (paddy or rough)
551551,2022,56,191,100610,0.061,        0.082,Belgium,Croatia,Cereals: rice in the husk (paddy or rough)
556953,2022,56,203,100610,0.162,        0.272,Belgium,Czechia,Cereals: rice in the husk (paddy or rough)
561985,2022,56,208,100610,0.203,        0.263,Belgium,Denmark,Cereals: rice in the husk (paddy or rough)
575680,2022,56,251,100610,18.005,       19.865,Belgium,France,Cereals: rice in the husk (paddy or rough)
585265,2022,56,276,100610,51.399,       40.383,Belgium,Germany,Cereals: rice in the husk (paddy or rough)
591608,2022,56,300,100610,0.864,        1.162,Belgium,Greece,Cereals: rice in the husk (paddy or rough)
600661,2022,56,348,100610,20.152,       31.180,Belgium,Hungary,Cereals: rice in the husk (paddy or rough)
603960,2022,56,352,100610,73.516,       64.760,Belgium,Iceland,Cereals: rice in the husk (paddy or rough)
609491,2022,56,372,100610,0.072,        0.082,Belgium,Ireland,Cereals: rice in the husk (paddy or rough)
615866,2022,56,380,100610,788.661,      576.285,Belgium,Italy,Cereals: rice in the husk (paddy or rough)
643473,2022,56,442,100610,9.456,        4.211,Belgium,Luxembourg,Cereals: rice in the husk (paddy or rough)
653538,2022,56,470,100610,0.019,        0.020,Belgium,Malta,Cereals: rice in the husk (paddy or rough)
670065,2022,56,528,100610,226.712,      222.220,Belgium,Netherlands,Cereals: rice in the husk (paddy or rough)
680299,2022,56,566,100610,10.783,        9.344,Belgium,Nigeria,Cereals: rice in the husk (paddy or rough)
691390,2022,56,616,100610,8.937,        4.356,Belgium,Poland,Cereals: rice in the husk (paddy or rough)
695387,2022,56,620,100610,1.027,        1.465,Belgium,Portugal,Cereals: rice in the husk (paddy or rough)
699092,2022,56,634,100610,0.267,        0.340,Belgium,Qatar,Cereals: rice in the husk (paddy or rough)
700844,2022,56,642,100610,0.626,        0.820,Belgium,Romania,Cereals: rice in the husk (paddy or rough)
721865,2022,56,703,100610,0.206,        0.225,Belgium,Slovakia,Cereals: rice in the husk (paddy or rough)
726872,2022,56,705,100610,0.533,        0.695,Belgium,Slovenia,Cereals: rice in the husk (paddy or rough)
729779,2022,56,710,100610,1.524,        1.558,Belgium,South Africa,Cereals: rice in the husk (paddy or rough)
733064,2022,56,724,100610,4.956,        2.140,Belgium,Spain,Cereals: rice in the husk (paddy or rough)
738665,2022,56,752,100610,0.041,        0.041,Belgium,Sweden,Cereals: rice in the husk (paddy or rough)
742412,2022,56,757,100610,1.155,        1.418,Belgium,Switzerland,Cereals: rice in the husk (paddy or rough)
750753,2022,56,784,100610,8.301,        1.196,Belgium,United Arab Emirates,Cereals: rice in the husk (paddy or rough)
759945,2022,56,804,100610,0.334,        0.041,Belgium,Ukraine,Cereals: rice in the husk (paddy or rough)
763554,2022,56,818,100610,0.261,        0.450,Belgium,Egypt,Cereals: rice in the husk (paddy or rough)
765969,2022,56,826,100610,7.497,        8.363,Belgium,United Kingdom,Cereals: rice in the husk (paddy or rough)
805711,2022,70,499,100610,1.757,        1.720,Bosnia Herzegovina,Montenegro,Cereals: rice in the husk (paddy or rough)
814026,2022,70,705,100610,0.153,        0.070,Bosnia Herzegovina,Slovenia,Cereals: rice in the husk (paddy or rough)
824229,2022,72,516,100610,0.802,        0.513,Botswana,Namibia,Cereals: rice in the husk (paddy or rough)
831490,2022,76,24,100610,497.276,      431.474,Brazil,Angola,Cereals: rice in the husk (paddy or rough)
833524,2022,76,28,100610,0.038,        0.020,Brazil,Antigua and Barbuda,Cereals: rice in the husk (paddy or rough)
834563,2022,76,32,100610,3.1,        1.400,Brazil,Argentina,Cereals: rice in the husk (paddy or rough)
